"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"39","138.44714560164988","151.7930034049831","0.03662109375","0.02392578125","0.04296875","1560","0.000238381668332648","32","0.000238381668332648","0","0.000238381668332648","0.000238381668332648","38:0.0027466105235706695;40:0.0023443755716425208","38:68;40:68","Yes","38:0.007926273207553597;40:0.0038089197214561388"
"40","208.8327503678603","191.2794935358134","0.021728515625","0.01611328125","0.0263671875","1560","0.00016808902275452307","32","0.00016808902275452307","0","0.00016808902275452307","0.00016808902275452307","41:0.027233532700162932;34:0.001987775527032637;39:0.0023443755716425208","41:68;34:96;39:68","Yes","41:0.01639590708025221;34:0.015670806306064683;39:0.0038089197214561388"
"41","73.06604852183735","52.24583272426449","0.03125","0.04541015625","0.0107421875","1560","0.004972566481142416","32","0.004972566481142416","0","0.004972566481142416","0.004972566481142416","40:0.027233532700162932;42:0.028649140651876764","40:68;42:68","Yes","40:0.01639590708025221;42:0.0119493855262445"
"42","258.09046850372334","125.58139917322671","0.1329345703125","0.12841796875","0.10888671875","1560","0.0003106661793352745","32","0.0003106661793352745","0","0.0003106661793352745","0.0003106661793352745","41:0.028649140651876764;43:0.002031721593100888;54:0.002016961171792092","41:68;43:68;54:80","Yes","41:0.0119493855262445;43:0.006809469498943177;54:0.0025865840803891427"
"43","104.21319050922646","111.2073083549886","0.0086669921875","0.009765625","0.00537109375","1560","0.00024387889214848605","32","0.00024387889214848605","0","0.00024387889214848605","0.00024387889214848605","42:0.002031721593100888;44:0.0017671997191898714","42:68;44:68","Yes","42:0.006809469498943177;44:0.006543107870573356"
"44","299.7536663961134","286.8077934293375","0.0384521484375","0.0263671875","0.03271484375","1560","0.00015491761515528237","32","0.00015491761515528237","0","0.00015491761515528237","0.00015491761515528237","45:0.0023262933711604983;35:0.001932877744627498;43:0.0017671997191898714","45:68;35:108;43:68","Yes","45:0.005670094875130288;35:0.0038062336938950725;43:0.006543107870573356"
"45","48.51436747914386","63.355526671613326","0.016845703125","0.02587890625","0.00537109375","1560","0.00042267858310916784","32","0.00042267858310916784","0","0.00042267858310916784","0.00042267858310916784","44:0.0023262933711604983;46:0.002839843899920008","44:68;46:68","Yes","44:0.005670094875130288;46:0.006206784001752952"
"46","133.5328249856466","118.48240158165247","0.048583984375","0.04443359375","0.03564453125","1560","0.00021222029192762516","32","0.00021222029192762516","0","0.00021222029192762516","0.00021222029192762516","45:0.002839843899920008;47:0.0027905310846876863;55:0.004780189364650633","45:68;47:68;55:68","Yes","45:0.006206784001752952;47:0.007143918310460989;55:0.0027992384344111"
"47","167.44176305355822","60.42742787888796","0.015380859375","0.0419921875","0.009765625","1560","0.0004308680058534714","32","0.0004308680058534714","0","0.0004308680058534714","0.0004308680058534714","48:0.0026895864649633394;46:0.0027905310846876863","48:68;46:68","Yes","48:0.004335683184122668;46:0.007143918310460989"
"48","245.7621118711159","273.1921766949037","0.056884765625","0.052734375","0.056640625","1560","0.00045497235481255737","32","0.00045497235481255737","0","0.00045497235481255737","0.00045497235481255737","36:0.0017023029559621594;47:0.0026895864649633394;49:0.0022457541355798694","36:68;47:68;49:68","Yes","36:0.0031420574906836363;47:0.004335683184122668;49:0.0036104041149378485"
